DESCRIPCIÓN PRINCIPIO ACTIV,PRESENTACION,Fabricante,PRECIO MÁXIMO DE VENTA TRANSACCIÓN FINAL COMERCIAL
EXEMESTAN,SOLIDO,PFIZER,NO REGULADO
EXEMESTAN,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
EXEMESTAN,SOLIDO,SANDOZ,NO REGULADO
FULVESTRAN,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
INSULINA ASPART,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
INSULINA DETEMI,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
INSULINA GLARGIN,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
INSULINA GLULISIN,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
INSULINA LISPR,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
LEFLUNOMID,SOLIDO,PROCAPS,NO REGULADO
LEFLUNOMID,SOLIDO,SANOFI AVENTIS,NO REGULADO
LEUPRORELINA ACETAT,LIQUIDO/SOLIDO,TOLMAR,NO REGULADO
LEVETIRACETA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
METILPREDNISOLON,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MICOFENOLICO ACID,SOLIDO,NOVARTIS,NO REGULADO
MICOFENOLICO ACID,SOLIDO,ROCHE,NO REGULADO
OCTREOTID,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
PRAMIPEXOL,SOLIDO,BOEHRINGER,NO REGULADO
PREGABALIN,SOLIDO,PFIZER,NO REGULADO
QUETIAPIN,SOLIDO,ASTRAZENECA,NO REGULADO
QUETIAPIN,SOLIDO,PROCAPS,NO REGULADO
QUETIAPIN,SOLIDO,SYNTHESIS,NO REGULADO
QUETIAPIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
RIVASTIGMIN,SOLIDO,NOVARTIS,NO REGULADO
TIROFIBA,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
TIROTROPIN,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
TRABECTEDI,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
USTEKINUMA,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
DULAGLUTID,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
DARBEPOETINA ALF,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
RIOCIGUA,SOLIDO,BAYER,NO REGULADO
CINACALCE,SOLIDO,AMGEN,NO REGULADO
BRENTUXIMAB VEDOTI,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
AFATINI,SOLIDO,BOEHRINGER,NO REGULADO
VEMURAFENI,SOLIDO,ROCHE,NO REGULADO
AXITINI,SOLIDO,PFIZER,NO REGULADO
RUXOLITINI,SOLIDO,NOVARTIS,NO REGULADO
DEGARELI,LIQUIDO/SOLIDO,FERRING,NO REGULADO
PLERIXAFO,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
TERIFLUNOMID,SOLIDO,GENZYME,NO REGULADO
VEDOLIZUMA,LIQUIDO/SOLIDO,TAKEDA,NO REGULADO
FAMPRIDIN,SOLIDO,BIOGEN,NO REGULADO
RASBURICAS,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
TAPENTADO,SOLIDO,GRUNENTHAL,NO REGULADO
DAPAGLIFLOZIN,SOLIDO,ASTRAZENECA,NO REGULADO
MACITENTA,SOLIDO,ACTELION,NO REGULADO
VORTIOXETIN,SOLIDO,LUNDBECK,NO REGULADO
EMPAGLIFLOZIN,SOLIDO,BOEHRINGER,NO REGULADO
BETAÍNA ANHIDR,SOLIDO,ORPHAN EUROPE,NO REGULADO
AFLIBERCEP,LIQUIDO/SOLIDO,BAYER,NO REGULADO
ALEMTUZUMA,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,CELGENE,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,LKM,NO REGULADO
AZACITIDIN,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
CABAZITAXE,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
DARIFENACIN,SOLIDO,ASPEN,NO REGULADO
ELTROMBOPA,SOLIDO,NOVARTIS,NO REGULADO
IPILIMUMA,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
IRINOTECA,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MESALAZIN,LIQUIDO,DR FALK PHARMA,NO REGULADO
MESALAZIN,SOLIDO,DR FALK PHARMA,NO REGULADO
MESALAZIN,SOLIDO,FERRING,NO REGULADO
MESALAZIN,SOLIDO,LABINCO,NO REGULADO
METOXIPOLIETILENGLICOL EPOETINA BET,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
MIGLUSTAT,SOLIDO,ACTELION,NO REGULADO
RASAGILIN,SOLIDO,ALKEM,NO REGULADO
NIVOLUMA,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
PANITUMUMA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
LAMOTRIGIN,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
CLOPIDOGRE,SOLIDO,SANOFI AVENTIS,NO REGULADO
SIROLIMU,SOLIDO,PFIZER,NO REGULADO
TOPIRAMAT,SOLIDO,JANSSEN,NO REGULADO
CILOSTAZO,SOLIDO,MERCK,NO REGULADO
TRIMETAZIDIN,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
IVABRADIN,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
CANDESARTA,SOLIDO,ASTRAZENECA,NO REGULADO
CANDESARTA,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
CANDESARTA,SOLIDO,MERCK,NO REGULADO
TRETINOI,SOLIDO,CHEPLAPHARM,NO REGULADO
CIPROFIBRAT,SOLIDO,SANOFI AVENTIS,NO REGULADO
CIPROFIBRAT,SOLIDO,LA SANTE,NO REGULADO
CIPROFIBRAT,SOLIDO,MERCK,NO REGULADO
CIPROFIBRAT,SOLIDO,GENFAR,NO REGULADO
CABERGOLIN,SOLIDO,PROCAPS,NO REGULADO
CABERGOLIN,SOLIDO,MONTE VERDE,NO REGULADO
CABERGOLIN,SOLIDO,PFIZER,NO REGULADO
ALFUZOSIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
DUTASTERID,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
PARICALCITO,SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
LETROZO,SOLIDO,NOVARTIS,NO REGULADO
GABAPENTI,SOLIDO,PFIZER,NO REGULADO
GABAPENTI,SOLIDO,LEGRAND,NO REGULADO
GABAPENTI,SOLIDO,SANDOZ,NO REGULADO
GABAPENTI,SOLIDO,WINTHROP,NO REGULADO
GABAPENTI,SOLIDO,SANOFI AVENTIS,NO REGULADO
TREPROSTINIL,LIQUIDO/SOLIDO,FERRER,NO REGULADO
BUPROPIO,SOLIDO,MONTE VERDE,NO REGULADO
BUPROPIO,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
DULOXETIN,SOLIDO,ELI LILLY,NO REGULADO
DULOXETIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
DULOXETIN,SOLIDO,MK,NO REGULADO
DONEPEZI,SOLIDO,PROCAPS,NO REGULADO
CARVEDILO,SOLIDO,CHEPLAPHARM,NO REGULADO
CARVEDILO,SOLIDO,ROCHE,NO REGULADO
CARVEDILO,SOLIDO,CHEPLAFARM,NO REGULADO
IRBESARTA,SOLIDO,TECNOQUIMICAS,NO REGULADO
IRBESARTA,SOLIDO,SANOFI AVENTIS,NO REGULADO
TOLTERODIN,SOLIDO,PFIZER,NO REGULADO
ITRACONAZO,SOLIDO,PROCAPS,NO REGULADO
ITRACONAZO,SOLIDO,JANSSEN,NO REGULADO
ANASTROZO,SOLIDO,ASTRAZENECA,NO REGULADO
NARATRIPTA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
DESVENLAFAXIN,SOLIDO,PFIZER,NO REGULADO
DESVENLAFAXIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
ATOMOXETIN,SOLIDO,ELI LILLY,NO REGULADO
ATOMOXETIN,SOLIDO,SYNTHESIS,NO REGULADO
RILUZO,SOLIDO,SANOFI AVENTIS,NO REGULADO
TICAGRELO,SOLIDO,ASTRAZENECA,NO REGULADO
ITRACONAZO,LIQUIDO,JANSSEN,NO REGULADO
CARBAMAZEPIN,SOLIDO,NOVARTIS,NO REGULADO
CARBAMAZEPIN,LIQUIDO,TECNOFAR,NO REGULADO
LEVETIRACETA,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
RISPERIDON,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
RISPERIDON,LIQUIDO,JANSSEN,NO REGULADO
BRIMONIDIN,LIQUIDO,SOPHIA,NO REGULADO
BRIMONIDIN,LIQUIDO,ALLERGAN,NO REGULADO
BRIMONIDIN,LIQUIDO,TECNOQUIMICAS,NO REGULADO
LATANOPROS,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
LATANOPROS,LIQUIDO,PROCAPS,NO REGULADO
LATANOPROS,LIQUIDO,SOPHIA,NO REGULADO
LATANOPROS,LIQUIDO,PFIZER,NO REGULADO
BIMATOPROS,LIQUIDO,ALLERGAN,NO REGULADO
TRAVOPROS,LIQUIDO,SCANDINAVIA PHARMA,NO REGULADO
MEMANTIN,SOLIDO,MK,NO REGULADO
MEMANTIN,SOLIDO,LUNDBECK,NO REGULADO
MEMANTIN,SOLIDO,MERZ PHARMACEUTICALS,NO REGULADO
RISPERIDON,SOLIDO,TECNOQUIMICAS,NO REGULADO
RISPERIDON,SOLIDO,JANSSEN,NO REGULADO
TENECTEPLAS,LIQUIDO/SOLIDO,BOEHRINGER,NO REGULADO
FONDAPARINU,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
ALPROSTADIL,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
MOXIFLOXACIN,LIQUIDO/SOLIDO,BAYER,NO REGULADO
MOXIFLOXACIN,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
PRASUGRE,SOLIDO,DAIICHI SANKYO,NO REGULADO
VALPROICO ACID,SOLIDO,LAFRANCOL,NO REGULADO
NOMEGESTROL Y ESTRADIO,SOLIDO,MERCK SHARP DOME,NO REGULADO
NOMEGESTROL Y ESTRADIO,SOLIDO,SYNTHESIS,NO REGULADO
LIDOCAIN,SOLIDO,GRUNENTHAL,NO REGULADO
BUPRENORFIN,SOLIDO,GRUNENTHAL,NO REGULADO
FENTANIL,SOLIDO,PINT PHARMA,NO REGULADO
FENTANIL,SOLIDO,JANSSEN,NO REGULADO
TOBRAMICIN,LIQUIDO,CHIESI,NO REGULADO
TOBRAMICIN,LIQUIDO,NOVARTIS,NO REGULADO
DESMOPRESIN,LIQUIDO,FERRING,NO REGULADO
DESMOPRESIN,LIQUIDO,LAFRANCOL,NO REGULADO
DESMOPRESIN,SOLIDO,FERRING,NO REGULADO
DESMOPRESIN,SOLIDO,LAFRANCOL,NO REGULADO
DESMOPRESIN,LIQUIDO/SOLIDO,FERRING,NO REGULADO
DESMOPRESIN,LIQUIDO/SOLIDO,ORPHANPHARMA,NO REGULADO
OXCARBAZEPIN,LIQUIDO,NOVARTIS,NO REGULADO
OXCARBAZEPIN,SOLIDO,NOVARTIS,NO REGULADO
OXCARBAZEPIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
DOMPERIDON,SOLIDO,JANSSEN,NO REGULADO
DOMPERIDON,SOLIDO,SIEGFRIED,NO REGULADO
DOMPERIDON,SOLIDO,GENFAR,NO REGULADO
IBANDRONICO ACID,LIQUIDO/SOLIDO,ATNAHS,NO REGULADO
IBANDRONICO ACID,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
ERTAPENE,LIQUIDO/SOLIDO,NORSTRAY NUART,NO REGULADO
TRIPTORELI,LIQUIDO,FERRING,NO REGULADO
LOMITAPID,SOLIDO,VALENTECH,NO REGULADO
LAPATINI,SOLIDO,NOVARTIS,NO REGULADO
LACOSAMID,SOLIDO,UCB,NO REGULADO
LACOSAMID,SOLIDO,XINETIX PHARMA,NO REGULADO
METOPROLO,SOLIDO,ASTRAZENECA,NO REGULADO
TRASTUZUMAB EMTANSIN,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
ROTIGOTIN,SOLIDO,UCB,NO REGULADO
TELMISARTA,SOLIDO,BOEHRINGER,NO REGULADO
TELMISARTA,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TELMISARTA,SOLIDO,LA SANTE,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,PFIZER,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
OLMESARTAN MEDOXIMI,SOLIDO,TECNOQUIMICAS,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,SYNTHESIS,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,TECNOFARMA,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,LAFRANCOL,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,BCN MEDICAL,NO REGULADO
LEVONORGESTREL Y ETINILESTRADIO,SOLIDO,BAYER,NO REGULADO
EZETIMIB,SOLIDO,MERCK SHARP DOME,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,BAYER,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,SYNTHESIS,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (ANTICONCEPTIVO,SOLIDO,LAFRANCOL,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,LAFRANCOL,NO REGULADO
DIENOGEST Y ESTROGEN,SOLIDO,SYNTHESIS,NO REGULADO
DEXRAZOXAN,LIQUIDO/SOLIDO,CLINIGEN HELTHCARE,NO REGULADO
BISOPROLO,SOLIDO,MERCK,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,LAFRANCOL,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,HRA PHARMA,NO REGULADO
ANTICONCEPTIVO DE EMERGENCIA (LEVONORGESTREL,SOLIDO,PROCAPS,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (TSH,SOLIDO,BAYER,NO REGULADO
DROSPIRENONA Y ETINILESTRADIOL (TSH,SOLIDO,SYNTHESIS,NO REGULADO
GANCICLOVI,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
ALIROCUMA,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
BASILIXIMA,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
BLINATUMOMA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
BOSUTINI,SOLIDO,LAFRANCOL,NO REGULADO
BROMURO DE GLICOPERRONI,SOLIDO,NOVARTIS,NO REGULADO
BUDESONID,SOLIDO,DR FALK PHARMA,NO REGULADO
BUDESONID,SOLIDO,FERRING,NO REGULADO
BUDESONIDA Y FORMOTERO,LIQUIDO,BIOTOSCANA,NO REGULADO
BUDESONIDA Y FORMOTERO,LIQUIDO,ASTRAZENECA,NO REGULADO
BUDESONIDA Y FORMOTERO,SOLIDO,ASTRAZENECA,NO REGULADO
BUDESONIDA Y FORMOTERO,SOLIDO,NOVAMED,NO REGULADO
CARBETOCIN,LIQUIDO/SOLIDO,FERRING,NO REGULADO
CEFUROXIM,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
CELECOXI,SOLIDO,PFIZER,NO REGULADO
CIPROTERON,SOLIDO,BAYER,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,SYNTHESIS,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,BAYER,NO REGULADO
CIPROTERONA Y ESTROGENO (ETINILESTRADIOL,SOLIDO,LAFRANCOL,NO REGULADO
CISATRACURI,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
CITARABIN,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
CLORMADINONA Y ETINILESTRADIO,SOLIDO,GRUNENTHAL,NO REGULADO
CLORMADINONA Y ETINILESTRADIO,SOLIDO,SYNTHESIS,NO REGULADO
CLORMADINONA Y ETINILESTRADIO,SOLIDO,PROCAPS,NO REGULADO
DABRAFENI,SOLIDO,NOVARTIS,NO REGULADO
DALTEPARIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DESOGESTRE,SOLIDO,ORGANON,NO REGULADO
DESOGESTREL Y ETINILESTRADIO,SOLIDO,ORGANON,NO REGULADO
DIDROGESTERON,SOLIDO,LAFRANCOL,NO REGULADO
DIDROGESTERONA Y ESTROGEN,SOLIDO,LAFRANCOL,NO REGULADO
DIMETILFUMARAT,SOLIDO,SYNTHESIS,NO REGULADO
ELOSULFASA ALF,LIQUIDO/SOLIDO,BIOMARIN,NO REGULADO
ESTRADIO,SEMISOLIDO,BESINS MANUFACTURING,NO REGULADO
ESTRADIO,SEMISOLIDO,SYNTHESIS,NO REGULADO
ESTRIO,SEMISOLIDO,CHALVER,NO REGULADO
ESTRIO,SEMISOLIDO,ASPEN,NO REGULADO
ESTROGENOS CONJUGADO,SEMISOLIDO,CHALVER,NO REGULADO
ESTROGENOS CONJUGADO,SEMISOLIDO,BCN MEDICAL,NO REGULADO
ESTROGENOS CONJUGADO,SEMISOLIDO,PFIZER,NO REGULADO
ESTROGENOS CONJUGADO,SOLIDO,CHALVER,NO REGULADO
ESTROGENOS CONJUGADO,SOLIDO,PFIZER,NO REGULADO
ESTROGENOS CONJUGADO,SOLIDO,BCN MEDICAL,NO REGULADO
EVOLOCUMA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
FENOTEROL Y BROMURO DE IPRATROPI,LIQUIDO,BOEHRINGER,NO REGULADO
FLUTICASON,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
FORMOTERO,SOLIDO,NOVARTIS,NO REGULADO
GEFITINI,SOLIDO,ASTRAZENECA,NO REGULADO
GLATIRAMER ACETAT,LIQUIDO/SOLIDO,TEVA,NO REGULADO
ICATIBAN,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
INDACATERO,SOLIDO,NOVARTIS,NO REGULADO
INMUNOGLOBULINA ANTI D (RH,LIQUIDO/SOLIDO,CSL,NO REGULADO
INMUNOGLOBULINA HEPATITIS ,LIQUIDO/SOLIDO,BIOTEST,NO REGULADO
INSULINA DEGLUDE,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,BOEHRINGER,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,BIOTOSCANA,NO REGULADO
IPRATROPIO BROMUR,LIQUIDO,BCN MEDICAL,NO REGULADO
LABETALO,LIQUIDO/SOLIDO,KERN PHARMA,NO REGULADO
LIRAGLUTID,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
MEDROXIPROGESTERON,SOLIDO,PFIZER,NO REGULADO
METFORMINA Y LINAGLIPTIN,SOLIDO,BOEHRINGER,NO REGULADO
METFORMINA Y VILDAGLIPTIN,SOLIDO,NOVARTIS,NO REGULADO
MIRABEGRO,SOLIDO,ASTELLAS,NO REGULADO
NEPAFENAC,LIQUIDO,NOVARTIS,NO REGULADO
NINTEDANI,SOLIDO,BOEHRINGER,NO REGULADO
NORELGESTROMIN Y ETINILESTRADIO,SOLIDO,JANSSEN,NO REGULADO
NORETISTERONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
NORETISTERONA Y ESTROGENO (ESTRADIOL,LIQUIDO/SOLIDO,BAYER,NO REGULADO
OLAPARI,SOLIDO,ASTRAZENECA,NO REGULADO
OLODATEROL Y BROMURO DE TIOTROPI,LIQUIDO,BOEHRINGER,NO REGULADO
PALBOCICLI,SOLIDO,PFIZER,NO REGULADO
PALIPERIDON,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
PALIPERIDON,SOLIDO,JANSSEN,NO REGULADO
PASIREOTID,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
PEGASPARGAS,LIQUIDO/SOLIDO,LABORATORIOS SERVIER,NO REGULADO
PROGESTERON,SEMISOLIDO,BESINS HEALTHCARE,NO REGULADO
PROGESTERON,SEMISOLIDO,PROCAPS,NO REGULADO
RALOXIFEN,SOLIDO,ELI LILLY,NO REGULADO
RIBOCICLI,SOLIDO,NOVARTIS,NO REGULADO
SAXAGLIPTIN,SOLIDO,ASTRAZENECA,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,MERCK SHARP DOME,NO REGULADO
SIMVASTATIN Y EZETIMIB,SOLIDO,MK,NO REGULADO
SITAGLIPTIN,SOLIDO,MERCK SHARP DOME,NO REGULADO
SOLIFENACIN,SOLIDO,ASTELLAS,NO REGULADO
TAFLUPROS,LIQUIDO,MUNDIPHARMA,NO REGULADO
TIBOLON,SOLIDO,CHALVER,NO REGULADO
TIBOLON,SOLIDO,SYNTHESIS,NO REGULADO
TIBOLON,SOLIDO,ORGANON,NO REGULADO
TIOTROPIO BROMUR,LIQUIDO,BOEHRINGER,NO REGULADO
VALSARTAN Y SACUBITRI,SOLIDO,NOVARTIS,NO REGULADO
NUSINERSE,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
RIVAROXABAN ,SOLIDO,BAYER,NO REGULADO
TOXINA HEMAGLUTININA DE TOXINA TIPO A Y OTRAS TOXINAS TIPO ,LIQUIDO/SOLIDO,IPSEN,NO REGULADO
TOXINA BOTULÍNICA CLOSTRIDUIM TIPO ,LIQUIDO/SOLIDO,ALLERGAN,NO REGULADO
RITUXIMAB (INTRAVENOSA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
TRASTUZUMA,SOLIDO,ROCHE,NO REGULADO
LENALIDOMIDA ,SOLIDO,CELGENE EUROPE,NO REGULADO
EVEROLIMUS (INMUNOSUPRESOR,SOLIDO,NOVARTIS,NO REGULADO
VENLAFAXIN,SOLIDO,PFIZER,NO REGULADO
DOXORUBICINA LIPOSOMA,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
ALPROSTADIL,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
LEVONORGESTREL,SOLIDO,BAYER,NO REGULADO
DIENOGEST Y VALERATO DE ESTRADIOL (ANTICONCEPTIVO,SOLIDO,BAYER,NO REGULADO
DIENOGEST Y VALERATO DE ESTRADIOL (ANTICONCEPTIVO,SOLIDO,LAFRANCOL,NO REGULADO
CEFUROXIM,SOLIDO,GENFAR,NO REGULADO
