NOMBRE DEL PRODUCTO FARMACÉUTIC,TIPO DE FÁRMACO,Nombre del laboratorio ofertante,Estado,Principio activo o asociación de principios activos,Tratamiento de larga duración
POMADA ANTIBIOTICA LIADE TUBO,MEDICAMENTO ETICA,"DESMA LABORATORIO FARMACEUTICO, S.L.",ALTA,"NEOMICINA SULFATO,POLIMIXINA B SULFATO,BACITRACINA",NO
POMADA ANTIBIOTICA LIADE TUBO,MEDICAMENTO ETICA,"DESMA LABORATORIO FARMACEUTICO, S.L.",ALTA,"NEOMICINA SULFATO,BACITRACINA,POLIMIXINA B SULFATO",NO
ENALAPRIL/HIDROCLOR TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,"HIDROCLOROTIAZIDA,ENALAPRIL MALEATO",NO
CLARITROMICINA SANDOZ,MEDICAMENTO ETICA,"SANDOZ FARMACEUTICA, S.A",ALTA,CLARITROMICINA,NO
LISINOPRIL RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LISINOPRIL DIHIDRATO,SI
HALOPERIDOL ESTEVE,MEDICAMENTO ETICA,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,HALOPERIDOL,NO
CEFIXIMA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CEFIXIMA TRIHIDRATO,NO
MELOXICAM STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,MELOXICAM,NO
LISINOPRIL SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,LISINOPRIL DIHIDRATO,SI
CITALVIR,MEDICAMENTO ETICA,"ABABOR PHARMACEUTICALS, S.L.",ALTA,CITALOPRAM HIDROBROMURO,NO
CITALOPRAM BEXAL,MEDICAMENTO GENERICO,"BEXAL FARMACEUTICA, S.A.",ALTA,CITALOPRAM HIDROBROMURO,NO
IMIGRAN NEO,MEDICAMENTO ETICA,"GLAXOSMITHKLINE, S.A.",ALTA,SUMATRIPTAN SUCCINATO,NO
TORASEMIDA TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,TORASEMIDA,SI
MELOXICAM MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,MELOXICAM,NO
TOBREXAN,MEDICAMENTO ETICA,NOVARTIS FARMACEUTICA S.A.,ALTA,TOBRAMICINA,NO
LANSOPRAZOL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,LANSOPRAZOL,NO
TORASEMIDA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,TORASEMIDA,SI
ENALAPRIL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,ENALAPRIL MALEATO,SI
LISINOPRIL/HIDROCLOROTIAZIDA VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"HIDROCLOROTIAZIDA,LISINOPRIL DIHIDRATO",NO
BLOPRESS,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,CANDESARTAN CILEXETILO,NO
BOSPORON RAPID,MEDICAMENTO ETICA,"TAKEDA FARMACEUTICA ESPAÑA, S.A",BAJA POR NO COMERCIALIZAR,LORNOXICAM,NO
CO-DIOVAN  FORTE,MEDICAMENTO ETICA,NOVARTIS FARMACEUTICA S.A.,ALTA,"HIDROCLOROTIAZIDA,VALSARTAN",NO
REGULATEN PLUS,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"EPROSARTAN MESILATO DIHIDRATO,HIDROCLOROTIAZIDA",NO
OMEPRAZOL SANDOZ FARMACEUTICA,MEDICAMENTO ETICA,"SANDOZ FARMACEUTICA, S.A",ALTA,OMEPRAZOL,NO
SUMATRIPTAN SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,SUMATRIPTAN SUCCINATO,NO
IBUPROFENO VIR,MEDICAMENTO ETICA,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,IBUPROFENO,NO
KEPPRA,MEDICAMENTO ETICA,UCB PHARMA S.A.,ALTA,LEVETIRACETAM,NO
TESTIM,MEDICAMENTO ETICA,FERRING S.A.U,SUSPENSION TEMPORAL GENERAL,TESTOSTERONA,NO
LISINOPRIL TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LISINOPRIL DIHIDRATO,SI
LORATADINA VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,LORATADINA,NO
CITALOPRAM VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,CITALOPRAM HIDROBROMURO,NO
CITALOPRAM RATIO,MEDICAMENTO ETICA,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,CITALOPRAM HIDROBROMURO,NO
CITALOPRAM RATIO,MEDICAMENTO ETICA,"TEVA PHARMA, S.L.U",ALTA,CITALOPRAM HIDROBROMURO,NO
NODETRIP,MEDICAMENTO ETICA,"ESTEVE PHARMACEUTICALS, S.A.",BAJA GENERAL,DULOXETINA HIDROCLORURO,NO
CITALOPRAM TEVA-RIMAFAR,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,CITALOPRAM HIDROBROMURO,NO
NAVIXEN PLUS,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"EPROSARTAN MESILATO DIHIDRATO,HIDROCLOROTIAZIDA",NO
INEGY,MEDICAMENTO ETICA,"ORGANON SALUD, S.L.",ALTA,"SIMVASTATINA,EZETIMIBA",NO
DOXAZOSINA NEO BEXAL,MEDICAMENTO GENERICO,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,DOXAZOSINA MESILATO,SI
PANTOPRAZOL BEXAL,MEDICAMENTO GENERICO,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,PANTOPRAZOL SODICO,NO
LORATADINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LORATADINA,NO
FLUVASTATINA PROLIB SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,FLUVASTATINA SODICA,SI
OMEPRAZOL MEIJI,MEDICAMENTO ETICA,"MEIJI PHARMA SPAIN, S.A.",BAJA GENERAL,OMEPRAZOL,NO
RISEDRONATO SEMANAL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,RISEDRONATO SODIO,NO
OMEPRAZOL MABO-FARMA,MEDICAMENTO ETICA,"MABO-FARMA, S.A.",BAJA GENERAL,OMEPRAZOL,NO
FLUCONAZOL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,FLUCONAZOL,NO
XAGRID,MEDICAMENTO ETICA,"TAKEDA FARMACEUTICA ESPAÑA, S.A",ALTA,ANAGRELIDA HIDROCLORURO,NO
OLANZAPINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,OLANZAPINA,NO
ARIXTRA,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,FONDAPARINUX SODICO,NO
VALSARTAN SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,VALSARTAN,NO
VALSARTAN/HIDROCLOROTIAZIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"HIDROCLOROTIAZIDA,VALSARTAN",NO
LACTISONA,MEDICAMENTO ETICA,"STIEFEL FARMA, S.A",BAJA GENERAL,HIDROCORTISONA,NO
SIMVASTATINA ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",ALTA,SIMVASTATINA,SI
AFLUON,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,AZELASTINA HIDROCLORURO,NO
REPAGLINIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA POR NO COMERCIALIZAR,REPAGLINIDA,NO
ENALAPRIL ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,ENALAPRIL MALEATO,SI
FUTURAN PLUS,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"EPROSARTAN,HIDROCLOROTIAZIDA",NO
MELOXICAM KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,MELOXICAM,NO
LERCANIDIPINO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,LERCANIDIPINO HIDROCLORURO,NO
FORMOTEROL ALDO-UNION,MEDICAMENTO CON DENOMINACION GENERICA,"ALDO-UNION, S.L.",ALTA,FORMOTEROL FUMARATO DIHIDRATO,SI
QUINAPRIL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,QUINAPRIL HIDROCLORURO,SI
QUINAPRIL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,BAJA GENERAL,QUINAPRIL HIDROCLORURO,SI
VYTORIN,MEDICAMENTO ETICA,"ORGANON SALUD, S.L.",ALTA,"SIMVASTATINA,EZETIMIBA",NO
FORMOTEROL STADA,MEDICAMENTO ETICA,"STADA, S.L",ALTA,FORMOTEROL FUMARATO DIHIDRATO,SI
OXYNORM,MEDICAMENTO ETICA,"MUNDIPHARMA PHARMACEUTICALS, S.L.",ALTA,OXICODONA HIDROCLORURO,NO
REPAGLINIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,REPAGLINIDA,NO
RISPERIDONA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,RISPERIDONA,NO
VALSARTAN/HIDROCLOROTIAZIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"VALSARTAN,HIDROCLOROTIAZIDA",NO
RISPERIDONA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,RISPERIDONA,NO
ACIDO ALENDRONICO SEMANAL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,ALENDRONATO SODIO TRIHIDRATO,NO
AMLODIPINO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,AMLODIPINO BESILATO,SI
OMEPRAZOL VIR,MEDICAMENTO ETICA,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,OMEPRAZOL,NO
OMEPRAZOL APOTEX,MEDICAMENTO ETICA,"APOTEX ESPAÑA, S.L",BAJA GENERAL,OMEPRAZOL,NO
CETIRIZINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,CETIRIZINA DIHIDROCLORURO,NO
CETIRIZINA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,CETIRIZINA DIHIDROCLORURO,NO
PRAVASTATINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,PRAVASTATINA SODICA,SI
OXYNORM CONCENTRADO,MEDICAMENTO ETICA,"MUNDIPHARMA PHARMACEUTICALS, S.L.",ALTA,OXICODONA HIDROCLORURO,NO
RESINCALCIO,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,POLIESTIRENOSULFONATO CALCIO,NO
ELIGARD MENSUAL,MEDICAMENTO ETICA,"CASEN RECORDATI, S.L..",ALTA,LEUPRORELINA ACETATO,NO
CODEROL,MEDICAMENTO ETICA,"ALMIRALL, S.A.",SUSPENSION TEMPORAL GENERAL,GLUCOSAMINA SULFATO,NO
ELIGARD TRIMESTRAL ,MEDICAMENTO ETICA,"CASEN RECORDATI, S.L..",ALTA,LEUPRORELINA ACETATO,NO
CARVEDILOL KRKA,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,CARVEDILOL,SI
LOETTE DIARIO,MEDICAMENTO ETICA,"PFIZER, S.L",ALTA,"ETINILESTRADIOL,LEVONORGESTREL",NO
LOETTE DIARIO,MEDICAMENTO ETICA,"PFIZER, S.L",ALTA,"LEVONORGESTREL,ETINILESTRADIOL",NO
DORMICUM,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,MIDAZOLAM,NO
DOXAZOSINA NEO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,DOXAZOSINA MESILATO,SI
ENALAPRIL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,ENALAPRIL MALEATO,SI
SINERGINA,MEDICAMENTO ETICA,"FAES FARMA, S.A.",ALTA,FENITOINA,SI
REMINYL,MEDICAMENTO ETICA,JANSSEN CILAG S.A.,ALTA,GALANTAMINA HIDROBROMURO,NO
HESPERCORBIN,MEDICAMENTO ETICA,ZAMBON S.A.U.,BAJA GENERAL,GLUCOSAMINA SULFATO,NO
LIDOCAINA  B. BRAUN,MEDICAMENTO ETICA,B. BRAUN MEDICAL S.A.,ALTA,LIDOCAINA HIDROCLORURO,NO
FENTANILO MATRIX SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,FENTANILO,NO
GLIMEPIRIDA SALUTAS,MEDICAMENTO GENERICO,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,GLIMEPIRIDA,NO
BUDESONIDA EASYHALER,MEDICAMENTO ETICA,ORION CORPORATION,ALTA,BUDESONIDA,SI
MIRTAZAPINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,MIRTAZAPINA,NO
CO-VALS FORTE,MEDICAMENTO ETICA,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,"VALSARTAN,HIDROCLOROTIAZIDA",NO
UROLOSIN OCAS,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,TAMSULOSINA HIDROCLORURO,NO
OMNIC OCAS,MEDICAMENTO ETICA,"ASTELLAS PHARMA, S.A",ALTA,TAMSULOSINA HIDROCLORURO,NO
SERTRALINA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,SERTRALINA,NO
SERTRALINA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,SERTRALINA HIDROCLORURO,NO
SERTRALINA SANDOZ FARMACEUTICA,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,SERTRALINA HIDROCLORURO,NO
SERTRALINA RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,SERTRALINA HIDROCLORURO,NO
SERTRALINA TEVAGEN,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,SERTRALINA HIDROCLORURO,NO
VENLAFAXINA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,VENLAFAXINA  HIDROCLORURO,NO
VENLAFAXINA COMBIX ,MEDICAMENTO GENERICO,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,VENLAFAXINA  HIDROCLORURO,NO
VENLAFAXINA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,VENLAFAXINA  HIDROCLORURO,NO
VENLAFAXINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,VENLAFAXINA  HIDROCLORURO,NO
ATORVASTATINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,ATORVASTATINA CALCICA TRIHIDRATO,NO
CLIPPER,MEDICAMENTO ETICA,"CHIESI ESPAÑA, S.A.U.",ALTA,BECLOMETASONA DIPROPIONATO,NO
BIDICLIN,MEDICAMENTO ETICA,"CHIESI ESPAÑA, S.A.U.",ALTA,BECLOMETASONA DIPROPIONATO,NO
IRBESARTAN/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
IRBESARTAN/HIDROCLOROTIAZIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"HIDROCLOROTIAZIDA,IRBESARTAN",NO
REPAGLINIDA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,REPAGLINIDA,NO
AZILECT,MEDICAMENTO ETICA,"TEVA PHARMA, S.L.U",ALTA,RASAGILINA MESILATO,NO
QUINAPRIL TAMARANG,MEDICAMENTO GENERICO,"TAMARANG, S.A.",BAJA GENERAL,QUINAPRIL HIDROCLORURO,SI
IBUPROFENO SANDOZ,MEDICAMENTO ETICA,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,IBUPROFENO,NO
PIREXIN,MEDICAMENTO ETICA,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",BAJA POR NO COMERCIALIZAR,IBUPROFENO,NO
KALPRESS PLUS FORTE,MEDICAMENTO ETICA,"LACER,S.A.",ALTA,"HIDROCLOROTIAZIDA,VALSARTAN",NO
AZITROMICINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,AZITROMICINA,NO
CEFTRIAXONA IPS,MEDICAMENTO GENERICO,IPS FARMA S.L.,BAJA GENERAL,CEFTRIAXONA,NO
ELECOR,MEDICAMENTO ETICA,"ALMIRALL, S.A.",ALTA,EPLERENONA,NO
OMEPRAZOL SANDOZ FARMACEUTICA,MEDICAMENTO ETICA,"SANDOZ FARMACEUTICA, S.A",BAJA POR NO COMERCIALIZAR,OMEPRAZOL,NO
MITEN PLUS FORTE,MEDICAMENTO ETICA,NOVARTIS FARMACEUTICA S.A.,BAJA GENERAL,"HIDROCLOROTIAZIDA,VALSARTAN",NO
DIAFORIN,MEDICAMENTO ETICA,FERRER INTERNACIONAL S.A.,BAJA GENERAL,RISPERIDONA,NO
RISPERIDONA CINFAMED,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,RISPERIDONA,NO
CETIRIZINA ZENTIVA,MEDICAMENTO GENERICO,ZENTIVA KS,ALTA,CETIRIZINA DIHIDROCLORURO,NO
PALLADONE CONTINUS,MEDICAMENTO ETICA,"MUNDIPHARMA PHARMACEUTICALS, S.L.",BAJA GENERAL,HIDROMORFONA HIDROCLORURO,NO
OMEPRAZOL SANDOZ FARMACEUTICA,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,OMEPRAZOL,NO
CITALOPRAM NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CITALOPRAM HIDROBROMURO,NO
GRISETIN,MEDICAMENTO ETICA,"FAES FARMA, S.A.",BAJA GENERAL,FLUTAMIDA,NO
MELOXICAM SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,MELOXICAM,NO
RISPERIDONA FARMALIDER,MEDICAMENTO ETICA,FARMALIDER S.A.,BAJA GENERAL,RISPERIDONA,NO
RISPERIDONA FARMALIDER,MEDICAMENTO ETICA,FARMALIDER S.A.,BAJA POR NO COMERCIALIZAR,RISPERIDONA,NO
RISPERIDONA CINFAMED,MEDICAMENTO ETICA,CINFA S.A.,ALTA,RISPERIDONA,NO
LOSARTAN BEXAL,MEDICAMENTO GENERICO,"BEXAL FARMACEUTICA, S.A.",BAJA GENERAL,LOSARTAN POTASICO,SI
ENANTYUM,MEDICAMENTO ETICA,"MENARINI,S.A.",ALTA,DEXKETOPROFENO,NO
KETESSE,MEDICAMENTO ETICA,"GUIDOTTI FARMA, S.L.",ALTA,DEXKETOPROFENO,NO
ENANDOL,MEDICAMENTO ETICA,"GUIDOTTI FARMA, S.L.",BAJA GENERAL,DEXKETOPROFENO,NO
VENLAFAXINA RETARD SANDOZ FARMACEUTICA,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,VENLAFAXINA  HIDROCLORURO,NO
TILKER,MEDICAMENTO ETICA,"GERVASI FARMACIA, S.L.",ALTA,DILTIAZEM HIDROCLORURO,SI
MIRTAZAPINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,MIRTAZAPINA,NO
FLUOXETINA RATIO,MEDICAMENTO GENERICO,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,FLUOXETINA,NO
SIMVASTATINA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,SIMVASTATINA,SI
PAZITAL,MEDICAMENTO ETICA,"GRÜNENTHAL PHARMA, S.A",ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
GLUCOSALINA GRIFOLS SOLUCION PARA PERFUSION ,MEDICAMENTO ETICA,LABORATORIOS GRIFOLS S.A.,BAJA POR NO COMERCIALIZAR,"SODIO CLORURO,GLUCOSA MONOHIDRATO",NO
GLUCOSALINA GRIFOLS SOLUCION PARA PERFUSION ,MEDICAMENTO ETICA,LABORATORIOS GRIFOLS S.A.,ALTA,"GLUCOSA MONOHIDRATO,SODIO CLORURO",NO
LOSARTAN/HIDROCLOROTIAZIDA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"LOSARTAN POTASICO,HIDROCLOROTIAZIDA",NO
GLUCOSALINA GRIFOLS SOLUCION PARA PERFUSION ,MEDICAMENTO ETICA,LABORATORIOS GRIFOLS S.A.,ALTA,"SODIO CLORURO,GLUCOSA MONOHIDRATO",NO
GLUCOSADA GRIFOLS,MEDICAMENTO ETICA,LABORATORIOS GRIFOLS S.A.,ALTA,GLUCOSA MONOHIDRATO,NO
KETOCONAZOL VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",BAJA POR NO COMERCIALIZAR,KETOCONAZOL,NO
SIMVASTATINA RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,SIMVASTATINA,SI
MICOFENOLATO DE MOFETILO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,MICOFENOLATO DE MOFETILO,NO
SECALIP,MEDICAMENTO ETICA,"LACER,S.A.",ALTA,FENOFIBRATO,SI
FERBISOL,MEDICAMENTO ETICA,"LABORATORIOS BIAL, S.A.",ALTA,FERROGLICINA SULFATO,NO
ALGIDRIN INFANTIL,MEDICAMENTO ETICA,FARDI S.A.,BAJA EXCLUSION FINANCIACION INDIVIDUALIZADA,IBUPROFENO LISINA,NO
CYMBALTA,MEDICAMENTO ETICA,DISTA S.A.E.,ALTA,DULOXETINA HIDROCLORURO,NO
OXYCONTIN,MEDICAMENTO ETICA,"MUNDIPHARMA PHARMACEUTICALS, S.L.",ALTA,OXICODONA HIDROCLORURO,NO
PANTOPRAZOL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,PANTOPRAZOL SODICO,NO
SICCAFLUID,MEDICAMENTO ETICA,THEA S.A.,ALTA,CARBOMERO,NO
ZONEGRAN,MEDICAMENTO ETICA,FERRER INTERNACIONAL S.A.,ALTA,ZONISAMIDA,NO
