SERVICIO,DESCRIPCIO,PIEZAS SOLICITADAS,PRECIO UNITARIO
CIRUGIA PLASTICA Y RECONSTRUCTIVA,OMEPRAZOL,2,54.16
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CAPTOPRIL,1,0.15
CIRUGIA PLASTICA Y RECONSTRUCTIVA,NIFEDIPINO,1,1.2
CIRUGIA PLASTICA Y RECONSTRUCTIVA,LINEZOLID,2,287.5
CIRUGIA PLASTICA Y RECONSTRUCTIVA,TRAMADOL,3,22.99
CIRUGIA PLASTICA Y RECONSTRUCTIVA,OMEPRAZOL,1,54.16
CIRUGIA PLASTICA Y RECONSTRUCTIVA,METRONIDAZOL,3,14.35
AREA DE CHOQUE,PARACETAMOL,20,0.39
AREA DE CHOQUE,CAPTOPRIL,20,0.15
AREA DE CHOQUE,OMEPRAZOL,20,8.84
AREA DE CHOQUE,KETOROLACO,20,2.68
AREA DE CHOQUE,OMEPRAZOL,20,54.16
AREA DE CHOQUE,KETOPROPOFENO,20,95.39
AREA DE CHOQUE,BUTILHIOSCINA,20,5.43
AREA DE CHOQUE,PARACETAMOL,6,129.68
AREA DE CHOQUE,OMEPRAZOL,10,54.16
AREA DE CHOQUE,GLUCOSA AL,15,33.65
MEDICINA INTERNA,ACIDO FOLICO,5,0.35
MEDICINA INTERNA,OMEPRAZOL,5,0.4
MEDICINA INTERNA,PREDNISONA,4,1.42
MEDICINA INTERNA,HEPARINA SODICA,5,70
MEDICINA INTERNA,HEPARINA SODICA,4,37.28
CIRUGIA GENERAL,KETOROLACO,25,2.68
CIRUGIA GENERAL,PARACETAMOL,65,129.68
CIRUGIA GENERAL,TRAMADOL,25,22.99
CIRUGIA GENERAL,OMEPRAZOL,25,54.16
CIRUGIA GENERAL,BUMETANIDA,8,40.38
CIRUGIA GENERAL,MULTIVITAMINICO B,10,77.47
CIRUGIA GENERAL,NIFEDIPINO,10,1.2
CIRUGIA GENERAL,CAPTOPRIL,10,0.15
CIRUGIA GENERAL,CLONIXINATO DE LISINA,8,2.21
CIRUGIA GENERAL,CLONIXINATO DE LISINA,15,4.35
CIRUGIA GENERAL,ONDANSETRON,20,50
CIRUGIA GENERAL,METOCLOPRAMIDA,20,1.64
CIRUGIA GENERAL,HIDROCORTISONA SUCCINATO SODICO DE,5,23.02
CIRUGIA GENERAL,SENOSIDOS A - B,12,0.79
CIRUGIA GENERAL,GABAPENTINA,10,4.35
URGENCIAS PEDIATRICAS,VECURONIO BROMURO DE ,2,29.85
URGENCIAS,PARACETAMOL,15,129.68
URGENCIAS,BUMETANIDA,25,40.38
URGENCIAS,GLUCONATO DE CALCIO AL,10,4.16
URGENCIAS,LIDOCAINA,1,26.42
URGENCIAS,LIDOCAINA,1,27.49
MEDICINA INTERNA,CAPTOPRIL,4,0.15
MEDICINA INTERNA,FLUCONAZOL,5,5.3
AREA DE CHOQUE,CEFTRIAXONA,2,13.99
AREA DE CHOQUE,CLARITROMICINA,2,645.77
CIRUGIA GENERAL,CEFTRIAXONA,2,13.99
CIRUGIA GENERAL,CLARITROMICINA,2,645.77
URGENCIAS PEDIATRICAS,CEFTRIAXONA,2,13.99
URGENCIAS PEDIATRICAS,CLINDAMICINA,8,14.33
URGENCIAS PEDIATRICAS,PARACETAMOL,4,129.68
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CEFTRIAXONA,2,13.99
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DEXAMETASONA FOSFATO SODICO DE,3,8.17
MEDICINA INTERNA,NIFEDIPINO,2,1.2
MEDICINA INTERNA,CEFTRIAXONA,1,13.99
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CLINDAMICINA,3,5.27
MEDICINA INTERNA,CEFTRIAXONA,2,13.99
AREA DE CHOQUE,TERLIPRESINA,10,724.58
AREA DE CHOQUE,METOCLOPRAMIDA,3,1.64
AREA DE CHOQUE,OMEPRAZOL,1,54.16
SUBDIRECCION DE ENFERMERIA,CEFALOTINA SODICA,1,24.71
CIRUGIA GENERAL,CIPROFLOXACINO,2,5.75
SUBDIRECCION DE ENFERMERIA,METRONIDAZOL,1,14.35
SUBDIRECCION DE ENFERMERIA,CEFTRIAXONA,1,13.99
URGENCIAS,CEFALOTINA SODICA,1,24.71
URGENCIAS,AMIKACINA SULFATO DE,2,4.79
URGENCIAS GINECOBSTETRICAS,MISOPROSTOL,8,15.9
URGENCIAS,CEFTRIAXONA,2,13.99
URGENCIAS,CLARITROMICINA,4,645.77
URGENCIAS,PARACETAMOL,3,129.68
URGENCIAS,TERLIPRESINA,8,724.58
URGENCIAS,OMEPRAZOL,2,54.16
URGENCIAS,METOCLOPRAMIDA,3,1.64
URGENCIAS,CEFTRIAXONA,1,13.99
URGENCIAS,CEFALOTINA SODICA,4,24.71
CIRUGIA PLASTICA Y RECONSTRUCTIVA,LINEZOLID,3,287.5
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOPROPOFENO,3,95.39
INFECTOLOGIA,ERTAPENEM,1,345.76
PEDIATRIA CLINICA,CEFTRIAXONA,2,13.99
PEDIATRIA CLINICA,CLINDAMICINA,4,5.27
PEDIATRIA CLINICA,CEFOTAXIMA,3,19.51
PEDIATRIA CLINICA,AMIKACINA SULFATO DE,2,3.22
PEDIATRIA CLINICA,AMPICILINA SODICA,2,13.31
PEDIATRIA CLINICA,CEFTRIAXONA,4,13.99
PEDIATRIA CLINICA,VANCOMICINA,8,46.68
PEDIATRIA CLINICA,ACICLOVIR SODICO,9,117.7
MEDICINA INTERNA,OMEPRAZOL,2,54.16
MEDICINA INTERNA,COLCHICINA,2,0.79
MEDICINA INTERNA,NISTATINA ,1,44.14
MEDICINA INTERNA,CEFTAZIDIMA  PENTAHIDRATADA,6,23.37
MEDICINA INTERNA,FLUCONAZOL,8,5.3
GINECO OBSTETRICIA,CEFTRIAXONA,2,13.99
GINECO OBSTETRICIA,METRONIDAZOL,3,14.35
MEDICINA INTERNA,GABAPENTINA,1,4.35
CIRUGIA GENERAL,PARACETAMOL,3,129.68
CIRUGIA GENERAL,KETOROLACO,3,2.68
CIRUGIA GENERAL,METOCLOPRAMIDA,3,1.64
CIRUGIA GENERAL,CEFTAZIDIMA  PENTAHIDRATADA,6,23.37
CIRUGIA GENERAL,ONDANSETRON,3,50
CIRUGIA GENERAL,OMEPRAZOL,2,54.16
MEDICINA INTERNA,CEFTRIAXONA,4,13.99
MEDICINA INTERNA,ATORVASTATINA,4,3.4
MEDICINA INTERNA,SENOSIDOS A - B,4,0.79
MEDICINA INTERNA,FUROSEMIDA,2,3.56
MEDICINA INTERNA,AMOXICILINA/CLAVULATO,4,4.6
MEDICINA INTERNA,ITRACONAZOL,6,3.29
MEDICINA INTERNA,LEVETIRACETAM ,4,20.1
MEDICINA INTERNA,BUMETANIDA,6,40.38
MEDICINA INTERNA,ALOPURINOL,1,0.74
MEDICINA INTERNA,NIFEDIPINO,1,1.2
MEDICINA INTERNA,SUCRALFATO ,3,1.02
MEDICINA INTERNA,AMFOTERICINA B,2,400.19
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,4,0.5
MEDICINA INTERNA,FLUCONAZOL,4,84.79
MEDICINA INTERNA,FUROSEMIDA,4,3.56
MEDICINA INTERNA,METOPROLOL,1,0.44
MEDICINA INTERNA,CEFALOTINA SODICA,10,24.71
GINECO OBSTETRICIA,DOXICICLINA,2,5.48
CIRUGIA GENERAL,OMEPRAZOL,1,54.16
CIRUGIA GENERAL,TRAMADOL,3,22.99
CIRUGIA GENERAL,CAPTOPRIL,3,0.15
CIRUGIA GENERAL,GABAPENTINA,6,4.35
CIRUGIA GENERAL,CLARITROMICINA,4,645.77
CIRUGIA GENERAL,HIDROCORTISONA SUCCINATO SODICO DE,4,23.02
CIRUGIA GENERAL,SUCRALFATO ,3,1.02
TERAPIA INTENSIVA,ACIDO ASCORBICO,6,21.89
TERAPIA INTENSIVA,NOREPINEFRINA,8,71.17
TERAPIA INTENSIVA,DEXAMETASONA FOSFATO SODICO DE,2,8.17
TERAPIA INTENSIVA,CEFEPIME ,2,50.64
TERAPIA INTENSIVA,METRONIDAZOL,1,14.35
TERAPIA INTENSIVA,CEFTAZIDIMA  PENTAHIDRATADA,2,23.37
TERAPIA INTENSIVA,VASOPRESINA,6,339.86
TERAPIA INTENSIVA,HIDROCORTISONA SUCCINATO SODICO DE,2,23.02
TERAPIA INTENSIVA,ROCURONIO BROMURO DE,4,72.29
TERAPIA INTENSIVA,FITOMENADIONA,2,8.03
TERAPIA INTENSIVA,CARBAMAZEPINA,4,1.83
TERAPIA INTENSIVA,ETAMBUTOL,3,3.01
TERAPIA INTENSIVA,ITRACONAZOL,2,3.29
INFECTOLOGIA,ERTAPENEM,4,345.76
TERAPIA INTENSIVA,DIGOXINA,2,16.58
TERAPIA INTENSIVA,TRAMADOL,3,22.99
MEDICINA INTERNA,ITRACONAZOL,4,3.29
URGENCIAS,PARACETAMOL,20,0.39
URGENCIAS,SENOSIDOS A - B,20,0.79
URGENCIAS,KETOROLACO,20,2.68
URGENCIAS,OMEPRAZOL,20,54.16
URGENCIAS,TRAMADOL,20,22.99
URGENCIAS,CLONIXINATO DE LISINA,20,4.35
URGENCIAS,CLORFENAMINA,20,29.43
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,ACIDO ACETILSALICILICO,6,0.59
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,AMIODARONA,8,44.01
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,CLORURO DE POTASIO,17,1.82
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,DEXAMETASONA FOSFATO SODICO DE,6,8.17
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,FOSFATO DE POTASIO,30,14.61
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,GLUCOSA AL,6,33.65
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,HIDROCORTISONA SUCCINATO SODICO DE,7,23.02
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,OMEPRAZOL,13,54.16
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,PROPOFOL,2,1038.46
URGENCIAS GINECOBSTETRICAS,OXITOCINA SINTETICA,10,3.73
URGENCIAS GINECOBSTETRICAS,BETAMETASONA,0,43.93
URGENCIAS GINECOBSTETRICAS,CLORURO DE BENZALCONIO,4,24.44
URGENCIAS GINECOBSTETRICAS,MISOPROSTOL,20,15.9
PEDIATRIA CLINICA,MULTIVITAMINICO B,2,77.47
PEDIATRIA CLINICA,OMEPRAZOL,10,54.16
PEDIATRIA CLINICA,FUROSEMIDA,10,3.56
PEDIATRIA CLINICA,SULFATO  DE  MAGNESIO,20,5.31
PEDIATRIA CLINICA,CLORURO DE POTASIO,20,1.82
PEDIATRIA CLINICA,GLUCOSA AL,10,33.65
UNIDAD TOCOQUIRURGICA,FITOMENADIONA,20,7.76
UNIDAD TOCOQUIRURGICA,KETOROLACO,30,2.68
UNIDAD TOCOQUIRURGICA,ONDANSETRON,10,50
UNIDAD TOCOQUIRURGICA,BUTILHIOSCINA,15,5.43
UNIDAD TOCOQUIRURGICA,TRAMADOL,15,22.99
UNIDAD TOCOQUIRURGICA,DEXAMETASONA FOSFATO SODICO DE,15,8.17
UNIDAD TOCOQUIRURGICA,METOCLOPRAMIDA,30,1.64
UNIDAD TOCOQUIRURGICA,MISOPROSTOL,10,15.9
UNIDAD TOCOQUIRURGICA,NIFEDIPINO,10,1.2
UNIDAD TOCOQUIRURGICA,AMIODARONA,3,44.01
UNIDAD TOCOQUIRURGICA,VECURONIO BROMURO DE ,3,29.85
UNIDAD TOCOQUIRURGICA,NITROPRUSIATO,1,7064.74
UNIDAD TOCOQUIRURGICA,VASOPRESINA,2,339.86
TERAPIA INTENSIVA,HALOPERIDOL,6,12.3
CIRUGIA PEDIATRICA,CLONAZEPAM,1,42.37
URGENCIAS,BUPRENORFINA,6,5.1
MEDICINA INTERNA,BICARBONATO DE POTASIO,4,3.45
MEDICINA INTERNA,PARACETAMOL,0,5.47
MEDICINA INTERNA,PARACETAMOL,4,0.39
MEDICINA INTERNA,ESMOLOL,0,337.5
MEDICINA INTERNA,DOBUTAMINA,1,26.98
URGENCIAS,TERLIPRESINA,5,724.58
URGENCIAS PEDIATRICAS,CLINDAMICINA,4,14.33
URGENCIAS PEDIATRICAS,PARACETAMOL,3,129.68
CIRUGIA GENERAL,BUMETANIDA,4,40.38
CIRUGIA GENERAL,ACIDO ASCORBICO,4,21.89
CIRUGIA GENERAL,CLONIXINATO DE LISINA,3,4.35
CIRUGIA GENERAL,METOCLOPRAMIDA,3,0.22
NEONATOLOGIA,CLINDAMICINA,3,5.27
NEONATOLOGIA,CEFOTAXIMA,3,19.51
NEONATOLOGIA,AMIKACINA SULFATO DE,2,3.22
URGENCIAS,FUROSEMIDA,2,3.56
URGENCIAS,CEFTAZIDIMA  PENTAHIDRATADA,3,23.37
URGENCIAS,SUCRALFATO ,3,1.02
URGENCIAS,TRAMADOL,3,22.99
URGENCIAS,FUROSEMIDA,3,3.56
URGENCIAS,PROPRANOLOL,2,0.32
URGENCIAS,HEPARINA SODICA,1,70
NEONATOLOGIA,MEROPENEM,2,316.67
NEONATOLOGIA,VANCOMICINA,2,46.68
CIRUGIA GENERAL,VANCOMICINA,6,46.68
CIRUGIA GENERAL,LEVOTIROXINA SODICA,1,6.28
CIRUGIA GENERAL,CASPOFUNGINA,1,1166.67
NEONATOLOGIA,AMFOTERICINA B,2,400.19
NEONATOLOGIA,CASPOFUNGINA,2,1166.67
URGENCIAS,ESPIRONOLACTONA,2,0.97
URGENCIAS,PROPRANOLOL,1,0.32
URGENCIAS,FUROSEMIDA,4,3.56
URGENCIAS,CAPTOPRIL,2,0.15
URGENCIAS,METRONIDAZOL,3,14.35
URGENCIAS,KETOROLACO,3,2.68
URGENCIAS,ONDANSETRON,3,50
URGENCIAS,CAPTOPRIL,1,0.15
CIRUGIA GENERAL,AMPICILINA SODICA,12,13.31
CIRUGIA GENERAL,CLONIXINATO DE LISINA,3,2.21
CIRUGIA GENERAL,CAPTOPRIL,2,0.15
CIRUGIA GENERAL,FUROSEMIDA,4,3.56
CIRUGIA GENERAL,VANCOMICINA,2,46.68
URGENCIAS,CEFEPIME ,6,50.64
URGENCIAS,DOXICICLINA,2,5.48
CIRUGIA GENERAL,PARACETAMOL,3,0.39
CIRUGIA GENERAL,OMEPRAZOL,1,0.4
CIRUGIA GENERAL,METRONIDAZOL,3,0.44
CIRUGIA GENERAL,VANCOMICINA,1,46.68
MEDICINA INTERNA,ISONIAZIDA/RIFAMPICINA,4,6.11
MEDICINA INTERNA,DEXAMETASONA FOSFATO SODICO DE,3,8.17
URGENCIAS,CLARITROMICINA,2,645.77
NEONATOLOGIA,DEXAMETASONA FOSFATO SODICO DE,10,8.17
NEONATOLOGIA,FUROSEMIDA,10,3.56
NEONATOLOGIA,METOCLOPRAMIDA,10,1.64
NEONATOLOGIA,OMEPRAZOL,5,54.16
URGENCIAS,BUMETANIDA,20,40.38
URGENCIAS,FUROSEMIDA,15,3.56
URGENCIAS,OMEPRAZOL,10,54.16
URGENCIAS,KETOROLACO,12,2.68
URGENCIAS,FOSFATO DE POTASIO,15,14.61
URGENCIAS,INSULINA HUMANA ACCION RAPIDA,2,55.19
ANESTESIOLOGIA,ROCURONIO BROMURO DE,30,72.29
URGENCIAS PEDIATRICAS,CLORURO DE POTASIO,10,1.82
URGENCIAS PEDIATRICAS,PARACETAMOL,2,129.68
URGENCIAS PEDIATRICAS,OMEPRAZOL,5,54.16
CIRUGIA GENERAL,DEXAMETASONA FOSFATO SODICO DE,5,8.17
CIRUGIA GENERAL,BUTILHIOSCINA,10,5.43
CIRUGIA GENERAL,INSULINA GLARGINA,1,582.04
MEDICINA INTERNA,RISPERIDONA,2,0.49
MEDICINA INTERNA,FUROSEMIDA,5,3.56
MEDICINA INTERNA,INSULINA GLARGINA,3,582.04
MEDICINA INTERNA,HEPARINA SODICA,4,70
MEDICINA INTERNA,CLORURO DE BENZALCONIO,4,24.44
MEDICINA INTERNA,INSULINA LISPRO,5,207.86
MEDICINA INTERNA,INSULINA HUMANA ACCION INTERMEDIA (N.P.H.),1,56.8
TERAPIA RESPIRATORIA,SALBUTAMOL,10,25.75
CIRUGIA GENERAL,NITROPRUSIATO,1,7064.74
CIRUGIA PLASTICA Y RECONSTRUCTIVA,PREDNISONA,6,0.44
URGENCIAS,HALOPERIDOL,6,12.3
MEDICINA INTERNA,CEFALOTINA SODICA,4,24.71
AREA DE CHOQUE,LEVETIRACETAM ,6,20.1
AREA DE CHOQUE,FENITOINA SODICA,2,0.38
AREA DE CHOQUE,CEFTRIAXONA,3,13.99
AREA DE CHOQUE,METRONIDAZOL,3,14.35
URGENCIAS,CIPROFLOXACINO,0,19
URGENCIAS,METRONIDAZOL,4,14.35
CIRUGIA GENERAL,CEFTAZIDIMA  PENTAHIDRATADA,2,23.37
CIRUGIA GENERAL,DOXICICLINA,2,5.48
CIRUGIA GENERAL,PREDNISONA,1,1.42
MEDICINA INTERNA,OMEPRAZOL,4,54.16
MEDICINA INTERNA,BICARBONATO DE POTASIO,6,3.45
MEDICINA INTERNA,FITOMENADIONA,2,8.03
CIRUGIA GENERAL,CLARITROMICINA,1,645.77
MEDICINA INTERNA,ISONIACIDA,4,3.29
CIRUGIA GENERAL,OMEPRAZOL,5,54.16
MEDICINA INTERNA,BUPRENORFINA,6,5.1
URGENCIAS,LEVOTIROXINA SODICA,2,6.28
URGENCIAS,NIFEDIPINO,2,1.2
MEDICINA INTERNA,LINEZOLID,3,287.5
URGENCIAS,ATORVASTATINA,4,3.4
URGENCIAS,OMEPRAZOL,1,54.16
TERAPIA INTENSIVA,HIDROCORTISONA SUCCINATO SODICO DE,1,23.02
TERAPIA INTENSIVA,FUROSEMIDA,3,3.56
TERAPIA INTENSIVA,AMIODARONA,4,44.01
TERAPIA INTENSIVA,NOREPINEFRINA,16,71.17
TERAPIA INTENSIVA,ACIDO ACETILSALICILICO,1,0.59
TERAPIA INTENSIVA,CARBAMAZEPINA,2,1.83
GINECO OBSTETRICIA,KETOROLACO,3,2.68
GINECO OBSTETRICIA,OMEPRAZOL,1,54.16
UROLOGIA,ERTAPENEM,1,345.76
UROLOGIA,AMPICILINA SODICA,14,13.31
UROLOGIA,PARACETAMOL,4,129.68
UROLOGIA,CEFTRIAXONA,2,13.99
CIRUGIA PLASTICA Y RECONSTRUCTIVA,PARACETAMOL,4,129.68
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CAPTOPRIL,2,0.15
URGENCIAS,LEVETIRACETAM ,6,20.1
UNIDAD TOCOQUIRURGICA,CEFALEXINA  MONOHIDRATADA ,4,1.86
URGENCIAS,ACIDO VALPROICO ,6,542.91
URGENCIAS,ENOXAPARINA,1,42.15
URGENCIAS,CAPTOPRIL,4,0.15
URGENCIAS,DOBUTAMINA,2,26.98
URGENCIAS,CEFTAZIDIMA  PENTAHIDRATADA,2,23.37
URGENCIAS,ENOXAPARINA,2,42.15
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,AMIODARONA,10,44.01
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,MULTIVITAMINICO B,12,77.47
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,RISPERIDONA,3,0.49
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,SULFATO  DE  MAGNESIO,20,5.31
URGENCIAS,CAPTOPRIL,20,0.15
URGENCIAS,DILTIAZEM,20,2.2
URGENCIAS,NIFEDIPINO,20,1.2
URGENCIAS,BUTILHIOSCINA,20,5.43
URGENCIAS,KETOPROPOFENO,20,95.39
URGENCIAS,FENITOINA SODICA,20,13.54
ORTOPEDIA,PARACETAMOL,12,129.68
GINECO OBSTETRICIA,KETOROLACO,20,1.8
GINECO OBSTETRICIA,PARACETAMOL,10,0.39
UNIDAD TOCOQUIRURGICA,HIDROCORTISONA,0,158.03
UNIDAD TOCOQUIRURGICA,HIDROCORTISONA SUCCINATO SODICO DE,1,23.02
UNIDAD TOCOQUIRURGICA,METAMIZOL,5,0.5
UNIDAD TOCOQUIRURGICA,PROPRANOLOL,5,0.32
